Time(ms),Setpoint,Angle,ControlVoltage,PWM,Error,Integral,Derivative
20,30.00,0.00,3.75,79,30.00,0.60,1500.00
40,30.00,0.35,3.79,80,29.65,1.19,-17.65
60,30.00,1.41,3.80,80,28.59,1.76,-52.94
80,30.00,2.82,3.79,80,27.18,2.31,-70.59
100,30.00,4.94,3.76,79,25.06,2.81,-105.88
120,30.00,7.41,3.70,78,22.59,3.26,-123.53
140,30.00,10.24,3.62,76,19.76,3.66,-141.18
160,30.00,13.41,3.52,74,16.59,3.99,-158.82
180,30.00,16.59,3.42,72,13.41,4.26,-158.82
200,30.00,20.12,3.30,70,9.88,4.45,-176.47
220,30.00,23.65,3.17,67,6.35,4.58,-176.47
240,30.00,27.18,3.03,64,2.82,4.64,-176.47
260,30.00,30.71,0.00,0,-0.71,0.00,-176.47
280,30.00,33.88,-2.66,56,-3.88,-0.08,-158.82
300,30.00,35.29,-2.73,57,-5.29,-0.18,-70.59
320,30.00,36.00,-2.77,58,-6.00,-0.30,-35.29
340,30.00,35.65,-2.76,58,-5.65,-0.42,17.65
360,30.00,35.29,-2.76,58,-5.29,-0.52,17.65
380,30.00,34.24,-2.72,57,-4.24,-0.61,52.94
400,30.00,33.18,-2.69,57,-3.18,-0.67,52.94
420,30.00,32.12,-2.65,56,-2.12,-0.71,52.94
440,30.00,30.71,0.00,0,-0.71,-0.71,70.59
460,30.00,29.29,0.00,0,0.71,0.00,70.59
480,30.00,28.24,2.57,54,1.76,0.04,52.94
500,30.00,28.24,2.58,54,1.76,0.07,0.00
520,30.00,28.24,2.58,54,1.76,0.11,0.00
540,30.00,28.94,2.55,54,1.06,0.13,-35.29
560,30.00,29.29,0.00,0,0.71,0.13,-17.65
580,30.00,30.00,0.00,0,0.00,0.13,-35.29
600,30.00,30.35,0.00,0,-0.35,0.13,-17.65
620,30.00,30.00,0.00,0,0.00,0.13,17.65
640,30.00,30.00,0.00,0,0.00,0.13,0.00
660,30.00,30.00,0.00,0,0.00,0.13,0.00
680,30.00,30.00,0.00,0,0.00,0.13,0.00
700,30.00,30.00,0.00,0,0.00,0.13,0.00
720,30.00,30.00,0.00,0,0.00,0.13,0.00
740,30.00,30.00,0.00,0,0.00,0.13,0.00
760,30.00,30.00,0.00,0,0.00,0.13,0.00
780,30.00,30.00,0.00,0,0.00,0.13,0.00
800,30.00,30.00,0.00,0,0.00,0.13,0.00
820,30.00,30.00,0.00,0,0.00,0.13,0.00
840,30.00,30.00,0.00,0,0.00,0.13,0.00
860,30.00,30.00,0.00,0,0.00,0.13,0.00
